_id,Geographic Area Served,Asset Name,Type of Entity,Digital Equity Pillars,CP1,CP2,CP3,CP4,CP5,CP6,CP7,CP8,CP9,Description of Services,Website,Street Address
60,Hawaii,Thelma Parker Memorial Public and School Library,Public Library,Broadband Availability; Device Availability; Digital Literacy,1,1,1,1,1,1,1,1,1,"One of the 51 branches of the Hawaii State Public Library System.
Offers connectivity to devices and the internet and opportunities
for the digital literacy skills they need to be successful.",https://www.librarieshawaii.org/,"67-1209 Mamalahoa Hwy, Kamuela, HI 96743, USA"
61,Hawaii,Volcano School of Arts and Sciences,Public School,Broadband Availability; Device Availability; Digital Literacy; potential CAI,1,,,,x,x,x,,x,Serves the Kau-Keaau-Pahoa complex area.,https://www.volcanoschool.net,"99-128 Old Volcano Road, Volcano, HI 96785"
62,Hawaii,Waiakea Elementary,Public School,Broadband Availability; Device Availability; Digital Literacy; potential CAI,1,,,,x,x,x,,x,Serves the Hilo-Waiakea complex area.,https://www.waiakeaelementary.org,"180 West Puainako Street, Hilo, HI 96720"
63,Hawaii,Waiakea High,Public School,Broadband Availability; Device Availability; Digital Literacy; potential CAI,1,,,,x,x,x,,x,Serves the Hilo-Waiakea complex area.,https://www.waiakeahigh.k12.hi.us,"155 W. Kawili Street, Hilo, HI 96720"
64,Hawaii,Waiakea Intermediate,Public School,Broadband Availability; Device Availability; Digital Literacy; potential CAI,1,,,,x,x,x,,x,Serves the Hilo-Waiakea complex area.,https://www.waiakeatitans.org,"200 West Puainako Street, Hilo, HI 96720"
65,Hawaii,Waiakeawaena Elementary,Public School,Broadband Availability; Device Availability; Digital Literacy; potential CAI,1,,,,x,x,x,,x,Serves the Hilo-Waiakea complex area.,https://www.waiakeawaena-elementary.com,"2420 Kilauea Avenue, Hilo, HI 96720"
66,Hawaii,Waikoloa Elementary and Middle,Public School,Broadband Availability; Device Availability; Digital Literacy; potential CAI,1,,,,x,x,x,,x,Serves the Honokaa-Kealakehe-Kohala-Konawaena complex area.,https://www.waikoloaschool.org,"68-1730 Hooko Street, Waikoloa, HI 96738"
67,Hawaii,Waimea Elementary,Public School,Broadband Availability; Device Availability; Digital Literacy; potential CAI,1,,,,x,x,x,,x,Serves the Honokaa-Kealakehe-Kohala-Konawaena complex area.,https://waimeael.k12.hi.us,"67-1225 Mamalahoa Highway, Kamuela, HI 96743"
68,Hawaii,Waimea Middle PCS,Public School,Broadband Availability; Device Availability; Digital Literacy; potential CAI,1,,,,x,x,x,,x,Serves the Honokaa-Kealakehe-Kohala-Konawaena complex area.,https://www.wmpccs.org,"67-1229 Mamalahoa Hwy., Kamuela, HI 96743"
69,Hawaii,Waipahu Community School for Adults - Hilo Campus,State Agency,Digital Literacy,1,1,1,1,1,1,1,1,1,WCSA is part of the Department of Education and offers basic skill development and digital literacy classes for individuals in the community to gain digital literacy skills to function in society and in the workplace. Additional class locations and information are available on the WCSA website.,https://www.wcsahawaii.org/,"155 W Kawili Street, Hilo, HI  96720"
